Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,3/7/2012,12:00:00,3/7/2012 12:00,3/9/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,3/7/2012,12:06:00,3/7/2012 12:06,3/9/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,5.3,mg/L,0.05,0.2,0.2,3/19/2012,9:07:00,3/19/2012 9:07,3/20/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2012,,,
RGW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.12,mg/L,0.01,0.1,0.1,4/5/2012,8:32:00,4/5/2012 8:32,4/6/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,16,mg/L,0.01,0.1,0.1,4/5/2012,8:50:00,4/5/2012 8:50,4/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for April 2012,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.076,mg/L,0.01,0.1,0.1,4/5/2012,8:55:00,4/5/2012 8:55,4/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for April 2012,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.051,mg/L,0.01,0.1,0.1,4/5/2012,9:00:00,4/5/2012 9:00,4/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for April 2012,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.028,mg/L,0.01,0.1,0.1,4/5/2012,9:05:00,4/5/2012 9:05,4/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for April 2012,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.067,mg/L,0.01,0.1,0.1,4/5/2012,9:15:00,4/5/2012 9:15,4/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for April 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.1,mg/L,0.01,0.1,0.1,4/5/2012,9:20:00,4/5/2012 9:20,4/7/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for April 2012,,,
RGW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.34,mg/L,0.01,0.1,0.1,4/5/2012,9:25:00,4/5/2012 9:25,4/6/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,4/5/2012,11:10:00,4/5/2012 11:10,4/6/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,6.6,mg/L,0.05,0.2,0.2,4/6/2012,10:14:00,4/6/2012 10:14,4/8/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.12,mg/L,0.01,0.1,0.1,4/6/2012,11:06:00,4/6/2012 11:06,4/8/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,4.1,mg/L,0.05,0.2,0.2,4/10/2012,8:07:00,4/10/2012 8:07,4/11/2012,0:00:00,,,,City of Davis WWTP, Annual SMR ( MONNPDES ) report for  2012,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,5/8/2012,13:53:00,5/8/2012 13:53,5/10/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for May 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,5/8/2012,13:56:00,5/8/2012 13:56,5/10/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for May 2012,,,
RGW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,3.8,mg/L,0.05,0.2,0.2,5/11/2012,8:57:00,5/11/2012 8:57,5/12/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,2.4,mg/L,0.01,0.1,0.1,5/15/2012,11:35:00,5/15/2012 11:35,5/16/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for May 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,6/5/2012,11:05:00,6/5/2012 11:05,6/6/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for June 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,6/5/2012,11:10:00,6/5/2012 11:10,6/6/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for June 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.052,mg/L,0.01,0.1,0.1,7/3/2012,10:00:00,7/3/2012 10:00,7/4/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for July 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,7/3/2012,10:03:00,7/3/2012 10:03,7/4/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for July 2012,,,
RGW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.74,mg/L,0.01,0.1,0.1,7/19/2012,8:17:00,7/19/2012 8:17,7/20/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.16,mg/L,0.01,0.1,0.1,7/19/2012,9:07:00,7/19/2012 9:07,7/20/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,7/19/2012,9:48:00,7/19/2012 9:48,7/20/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,3.2,mg/L,0.01,0.1,0.1,7/20/2012,8:27:00,7/20/2012 8:27,7/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,7.3,mg/L,0.05,0.2,0.2,7/20/2012,11:10:00,7/20/2012 11:10,7/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,7/20/2012,11:50:00,7/20/2012 11:50,7/20/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,8/13/2012,13:50:00,8/13/2012 13:50,8/15/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for August 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,8/13/2012,13:56:00,8/13/2012 13:56,8/15/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for August 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,9/4/2012,11:35:00,9/4/2012 11:35,9/5/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for September 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,9/4/2012,11:40:00,9/4/2012 11:40,9/4/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for September 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,10/3/2012,12:34:00,10/3/2012 12:34,10/4/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for October 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,10/3/2012,12:41:00,10/3/2012 12:41,10/4/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for October 2012,,,
RGW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.61,mg/L,0.01,0.1,0.1,10/11/2012,8:40:00,10/11/2012 8:40,10/12/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.14,mg/L,0.01,0.1,0.1,10/11/2012,9:35:00,10/11/2012 9:35,10/12/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,10/11/2012,10:25:00,10/11/2012 10:25,10/12/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,3.6,mg/L,0.05,0.2,0.2,10/12/2012,8:49:00,10/12/2012 8:49,10/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,5.6,mg/L,0.05,0.2,0.2,10/12/2012,9:42:00,10/12/2012 9:42,10/12/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
RGW-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,10/12/2012,10:23:00,10/12/2012 10:23,10/12/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2012,,,
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.88,mg/L,0.01,0.1,0.1,11/13/2012,9:29:00,11/13/2012 9:29,11/15/2012,0:00:00,,,,City of Davis WWTP, Annual SMR ( MONNPDES ) report for  2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,11/15/2012,11:15:00,11/15/2012 11:15,11/16/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for November 2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,11/15/2012,11:27:00,11/15/2012 11:27,11/16/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for November 2012,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,11/27/2012,8:45:00,11/27/2012 8:45,11/28/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for November 2012,,,
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,3.1,mg/L,0.01,0.1,0.1,12/3/2012,8:22:00,12/3/2012 8:22,12/4/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2012,,,
