Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
RSW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.3,mg/L,,,,9/14/2010,8:25:00,9/14/2010 8:25,9/15/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.4,mg/L,,,,9/14/2010,8:32:00,9/14/2010 8:32,9/15/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,405,lb/day,,,,9/14/2010,9:15:00,9/14/2010 9:15,9/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,6.1,mg/L,,,,9/14/2010,9:15:00,9/14/2010 9:15,9/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/15/2010,6:45:00,9/15/2010 6:45,9/15/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/16/2010,7:10:00,9/16/2010 7:10,9/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/17/2010,7:05:00,9/17/2010 7:05,9/17/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/18/2010,7:38:00,9/18/2010 7:38,9/18/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/19/2010,7:37:00,9/19/2010 7:37,9/19/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/20/2010,7:05:00,9/20/2010 7:05,9/20/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/21/2010,6:45:00,9/21/2010 6:45,9/21/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.2,mg/L,,,,9/21/2010,8:20:00,9/21/2010 8:20,9/21/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.3,mg/L,,,,9/21/2010,8:41:00,9/21/2010 8:41,9/21/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/21/2010,8:48:00,9/21/2010 8:48,9/22/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.5,mg/L,,,,9/21/2010,8:53:00,9/21/2010 8:53,9/22/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/21/2010,9:00:00,9/21/2010 9:00,9/22/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,418,lb/day,,,,9/21/2010,10:56:00,9/21/2010 10:56,9/22/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,5.6,mg/L,,,,9/21/2010,10:56:00,9/21/2010 10:56,9/22/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/22/2010,6:45:00,9/22/2010 6:45,9/22/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/23/2010,7:35:00,9/23/2010 7:35,9/23/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/24/2010,6:55:00,9/24/2010 6:55,9/24/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
