PermitTitle,Description,Pollutant,Date,Month,Year,Value,Unit
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/5/2009,3,2009,25.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/5/2009,3,2009,9.33,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/5/2009,3,2009,6.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/6/2009,3,2009,10.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/6/2009,3,2009,6.54,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/6/2009,3,2009,4.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/7/2009,3,2009,9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/7/2009,3,2009,5.74,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/7/2009,3,2009,4.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/8/2009,3,2009,7.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/8/2009,3,2009,5.45,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/8/2009,3,2009,4.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/9/2009,3,2009,7.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/9/2009,3,2009,4.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/9/2009,3,2009,3.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/10/2009,3,2009,7.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/10/2009,3,2009,4.68,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/10/2009,3,2009,3.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/11/2009,3,2009,6.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/11/2009,3,2009,4.26,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/11/2009,3,2009,2.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/12/2009,3,2009,6.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/12/2009,3,2009,4.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/12/2009,3,2009,2.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/13/2009,3,2009,6.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/13/2009,3,2009,3.88,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/13/2009,3,2009,2.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/14/2009,3,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/14/2009,3,2009,3.74,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/14/2009,3,2009,2.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,3/15/2009,3,2009,6.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,3/15/2009,3,2009,3.67,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,3/15/2009,3,2009,2.3,mgd
