Date,Month,Year,Flow,TSS ,NH3 ,NO3 ,NO2,PO4 ,OrthoP,OrgN
12/31/1979,12,1979,95.2,1.6,0.3,20.3,0.018,21,,1.1
1/31/1980,1,1980,97.8,1.6,0.1,20,0.015,14,,1.2
2/29/1980,2,1980,110.7,1.6,0.1,18,0.013,13.9,,1.3
3/31/1980,3,1980,107,1.5,0.1,15.7,0.016,16.1,,1.3
4/30/1980,4,1980,97.9,1.9,0.1,16.2,0.017,15.7,,1.3
5/31/1980,5,1980,97.4,1.7,0.1,14.9,0.02,14.5,,1.3
6/30/1980,6,1980,101.4,1,0.1,15.8,0.013,16,,1.2
7/31/1980,7,1980,105.1,2,0.1,11,0.014,10,,1.3
8/31/1980,8,1980,120.5,55.5,1.1,5.7,0.036,4.9,,2.6
9/30/1980,9,1980,121.7,1.4,0.1,10.1,0.008,14.9,,1.5
10/31/1980,10,1980,106.1,1,0.1,16.1,0.013,25,,1.3
11/30/1980,11,1980,101.7,0.7,0.2,22.1,0.011,24.7,,1.0
12/31/1980,12,1980,99.7,1.2,0.9,21.1,0.031,19.7,,1.3
1/31/1981,1,1981,105,0.9,0.5,18.1,0.011,14.6,,1.4
2/28/1981,2,1981,100,0.8,0.3,18.3,,12.4,,1.5
3/31/1981,3,1981,103,1.6,0.1,17.9,0.006,16.2,,1.6
4/30/1981,4,1981,101,3,0.2,15.8,0.009,16.9,,1.5
5/31/1981,5,1981,103,0.7,1.5,16.8,0.044,23.1,,1.4
6/30/1981,6,1981,103,2.8,1.7,17.2,0.032,23.8,,1.9
7/31/1981,7,1981,104,1.2,0.2,18.1,0.011,25.9,,1.5
8/31/1981,8,1981,109,1.7,0.1,12.8,0.022,15.2,,1.7
9/30/1981,9,1981,103,1.6,0.1,13.4,0.009,22.3,,2.5
10/31/1981,10,1981,101,1.6,0.1,15.7,0.003,17.1,,1.5
11/30/1981,11,1981,101,1.3,0.1,16.7,0.005,19.6,,0.9
12/31/1981,12,1981,97,0.6,0.1,14.9,0.001,19.8,,1.3
1/31/1982,1,1982,109,1.1,0.1,15.7,0.002,17.5,,1.4
2/28/1982,2,1982,108,1.6,0.1,19.4,0.004,19.8,,1.6
3/31/1982,3,1982,114,1.6,0.1,20.7,0.003,19.9,,1.6
4/30/1982,4,1982,114,1.5,0.1,18.1,0.003,18.4,,1.6
5/31/1982,5,1982,110,0.8,0.1,19.9,0.003,21.2,,1.6
6/30/1982,6,1982,108,0.8,0.1,16.3,0.026,21.7,,1.4
7/31/1982,7,1982,106,1.5,0.1,15.8,0.005,19.8,,1.5
8/31/1982,8,1982,112,1.8,0.1,13.9,0.002,21.2,,1.5
9/30/1982,9,1982,116,1.6,0.4,11.6,,25.3,,1.0
10/31/1982,10,1982,111,1.7,1,15.6,,25.3,,1.1
11/30/1982,11,1982,108,1.3,1.3,15.3,0.3,19.3,,1.3
12/31/1982,12,1982,107,2.6,1.2,14.2,0.4,18.2,,1.5
1/31/1983,1,1983,120,3.9,1.2,15.5,0.3,16.1,,1.4
2/28/1983,2,1983,125,3.1,1.3,16.6,0.1,16.7,,1.9
