,NO3 mg/L N,Time
425,1.5,2011-12-14 08:15:00
426,1.5,2011-12-14 08:42:00
427,1.6,2011-12-14 08:55:00
428,1.4,2011-12-14 09:06:00
429,1.4,2011-12-14 09:19:00
430,6.1,2011-12-14 12:08:00
431,1.1,2011-12-20 12:24:00
432,1.6,2011-12-20 12:45:00
433,1.5,2011-12-20 12:56:00
434,1.5,2011-12-20 13:05:00
435,1.5,2011-12-20 13:12:00
436,6.2,2011-12-20 14:10:00
437,1.5,2011-12-27 09:22:00
438,1.6,2011-12-27 09:40:00
439,1.6,2011-12-27 09:49:00
440,1.6,2011-12-27 09:56:00
441,1.5,2011-12-27 10:05:00
442,6.5,2011-12-27 11:12:00
443,,2012-01-05 12:27:00
444,,2012-01-05 12:44:00
445,,2012-01-05 12:59:00
446,,2012-01-05 13:10:00
447,,2012-01-05 13:22:00
448,5.9,2012-01-05 17:00:00
449,,2012-01-10 10:12:00
450,,2012-01-10 10:35:00
451,,2012-01-10 10:50:00
452,,2012-01-10 11:00:00
453,,2012-01-10 11:08:00
454,6.5,2012-01-10 17:00:00
455,6.6,2012-01-18 17:00:00
456,,2012-01-19 13:24:00
457,,2012-01-19 13:48:00
458,,2012-01-19 13:59:00
459,,2012-01-19 14:06:00
460,,2012-01-19 14:16:00
461,,2012-01-24 09:21:00
462,,2012-01-24 09:49:00
463,,2012-01-24 10:10:00
464,,2012-01-24 10:27:00
465,,2012-01-24 10:42:00
466,6.4,2012-01-24 17:00:00
467,5.7,2012-02-01 10:55:00
468,1.4,2012-02-01 11:35:00
469,1.5,2012-02-01 12:00:00
470,1.5,2012-02-01 12:20:00
471,1.6,2012-02-01 12:40:00
472,1.5,2012-02-01 12:50:00
473,1.5,2012-02-06 08:27:00
474,1.7,2012-02-06 08:39:00
475,1.4,2012-02-06 08:39:00
476,1.6,2012-02-06 08:47:00
477,1.6,2012-02-06 09:06:00
478,3.4,2012-02-07 10:40:00
479,1.5,2012-02-14 10:43:00
480,1.8,2012-02-14 11:08:00
481,1.9,2012-02-14 11:25:00
482,1.7,2012-02-14 11:33:00
483,1.6,2012-02-14 11:45:00
484,5.2,2012-02-14 13:28:00
485,1.7,2012-02-23 09:22:00
486,1.9,2012-02-23 09:37:00
487,2.0,2012-02-23 09:48:00
488,1.9,2012-02-23 09:54:00
489,1.8,2012-02-23 10:05:00
490,6.3,2012-02-23 11:53:00
491,1.8,2012-02-28 12:48:00
492,1.7,2012-02-28 13:14:00
493,1.8,2012-02-28 13:27:00
494,1.7,2012-02-28 13:34:00
495,1.6,2012-02-28 13:48:00
496,6.1,2012-02-28 14:52:00
