,time,flow
2336,2014-10-16,5685.297604166666
2337,2014-10-17,5778.007291666668
2338,2014-10-18,5964.347604166666
2339,2014-10-19,5907.476041666668
2340,2014-10-20,5895.358333333334
2341,2014-10-21,6307.031458333334
2342,2014-10-22,6104.691979166666
2343,2014-10-23,6116.354166666667
2344,2014-10-24,6362.865312499999
2345,2014-10-25,5611.398958333332
2346,2014-10-26,6987.997604166667
2347,2014-10-27,6626.78125
2348,2014-10-28,6552.6415625
2349,2014-10-29,6551.5
2350,2014-10-30,6463.75
2351,2014-10-31,6030.1846875
2352,2014-11-01,6580.9297916666665
2353,2014-11-02,7451.165416666667
2354,2014-11-03,7604.21875
2355,2014-11-04,7939.3125
2356,2014-11-05,7752.125
2357,2014-11-06,7702.333541666667
2358,2014-11-07,7932.839583333333
2359,2014-11-08,7774.5353125
2360,2014-11-09,7446.877083333333
2361,2014-11-10,7140.770208333332
2362,2014-11-11,6918.770833333333
2363,2014-11-12,7440.640625
2364,2014-11-13,7281.617812500001
2365,2014-11-14,7409.646874999999
2366,2014-11-15,7404.192708333333
2367,2014-11-16,7599.676666666666
2368,2014-11-17,7450.580000000001
2369,2014-11-18,7241.376041666667
2370,2014-11-19,7149.802083333333
2371,2014-11-20,7475.220833333333
2372,2014-11-21,7811.190833333333
2373,2014-11-22,7524.3328125
2374,2014-11-23,8281.103125
2375,2014-11-24,8066.315625
2376,2014-11-25,8569.822916666666
2377,2014-11-26,8396.34375
2378,2014-11-27,7748.885416666667
2379,2014-11-28,7266.412499999999
2380,2014-11-29,7050.515625
2381,2014-11-30,7719.40625
2382,2014-12-01,7903.229166666667
2383,2014-12-02,8311.614583333334
2384,2014-12-03,10597.8125
2385,2014-12-04,15523.229166666666
2386,2014-12-05,19755.0
2387,2014-12-06,27831.25
2388,2014-12-07,27013.541666666668
2389,2014-12-08,25417.708333333332
2390,2014-12-09,23985.416666666668
2391,2014-12-10,21141.666666666668
2392,2014-12-11,16336.666666666666
2393,2014-12-12,22160.416666666668
2394,2014-12-13,38202.083333333336
2395,2014-12-14,44913.541666666664
2396,2014-12-15,50102.083333333336
2397,2014-12-16,54557.291666666664
2398,2014-12-17,52106.25
2399,2014-12-18,49258.333333333336
2400,2014-12-19,49491.666666666664
2401,2014-12-20,50423.958333333336
2402,2014-12-21,49930.208333333336
2403,2014-12-22,49351.041666666664
2404,2014-12-23,49597.916666666664
2405,2014-12-24,47755.208333333336
2406,2014-12-25,42432.291666666664
2407,2014-12-26,36433.333333333336
2408,2014-12-27,32259.375
2409,2014-12-28,28931.25
2410,2014-12-29,25951.041666666668
2411,2014-12-30,23222.916666666668
2412,2014-12-31,20655.208333333332
2413,2015-01-01,17991.666666666668
2414,2015-01-02,15838.541666666666
2415,2015-01-03,14972.5
2416,2015-01-04,13987.083333333334
2417,2015-01-05,13143.541666666666
2418,2015-01-06,12932.916666666666
2419,2015-01-07,12116.770833333334
2420,2015-01-08,11762.8125
2421,2015-01-09,11398.4375
2422,2015-01-10,11055.729166666666
2423,2015-01-11,10861.458333333334
2424,2015-01-12,10787.8125
2425,2015-01-13,10369.583333333334
2426,2015-01-14,9911.5625
2427,2015-01-15,9367.271875
2428,2015-01-16,9337.108437500001
2429,2015-01-17,9525.418749999999
2430,2015-01-18,9748.689583333333
2431,2015-01-19,9700.783333333333
2432,2015-01-20,9655.947916666666
2433,2015-01-21,9812.270833333334
2434,2015-01-22,9825.7928125
2435,2015-01-23,9390.6875
2436,2015-01-24,9156.354166666666
2437,2015-01-25,9094.479166666666
2438,2015-01-26,8740.916666666666
2439,2015-01-27,8849.263541666667
2440,2015-01-28,8943.170833333334
2441,2015-01-29,9048.760208333333
2442,2015-01-30,8923.333333333334
2443,2015-01-31,9449.40625
2444,2015-02-01,9258.495833333332
2445,2015-02-02,9274.353958333335
2446,2015-02-03,9097.377083333333
2447,2015-02-04,9160.864583333334
2448,2015-02-05,9286.737500000001
2449,2015-02-06,9507.270833333334
2450,2015-02-07,11445.520833333334
2451,2015-02-08,14658.333333333334
2452,2015-02-09,27164.583333333332
2453,2015-02-10,33470.833333333336
2454,2015-02-11,34562.5
2455,2015-02-12,35051.041666666664
2456,2015-02-13,33614.583333333336
2457,2015-02-14,29846.875
2458,2015-02-15,26466.666666666668
2459,2015-02-16,23205.208333333332
2460,2015-02-17,20489.583333333332
2461,2015-02-18,18741.666666666668
2462,2015-02-19,17042.708333333332
2463,2015-02-20,15735.729166666666
2464,2015-02-21,15136.041666666666
2465,2015-02-22,14234.895833333334
2466,2015-02-23,13702.8125
2467,2015-02-24,12752.8125
2468,2015-02-25,12128.020833333334
2469,2015-02-26,11890.0
2470,2015-02-27,11302.395833333334
2471,2015-02-28,11171.145833333334
2472,2015-03-01,10861.041666666666
2473,2015-03-02,10246.427083333334
2474,2015-03-03,10505.416666666666
2475,2015-03-04,10256.875
2476,2015-03-05,10083.333333333334
2477,2015-03-06,9651.354166666666
2478,2015-03-07,9027.53125
2479,2015-03-08,8647.510416666666
2480,2015-03-09,8596.864583333334
2481,2015-03-10,8401.197916666666
2482,2015-03-11,8434.739583333334
2483,2015-03-12,8942.083333333334
2484,2015-03-13,8071.1875
2485,2015-03-14,7753.463541666667
2486,2015-03-15,7352.026041666667
2487,2015-03-16,8081.098020833334
2488,2015-03-17,7781.723020833332
2489,2015-03-18,8273.677083333334
2490,2015-03-19,8007.024895833333
2491,2015-03-20,7640.65625
2492,2015-03-21,7413.5359375
2493,2015-03-22,6952.708333333333
2494,2015-03-23,6746.8425
2495,2015-03-24,6806.037604166667
2496,2015-03-25,6780.201041666667
2497,2015-03-26,6520.941666666667
2498,2015-03-27,6345.500520833334
2499,2015-03-28,6645.471875
2500,2015-03-29,5845.75
2501,2015-03-30,6209.529166666667
2502,2015-03-31,6037.26875
2503,2015-04-01,6795.053124999999
2504,2015-04-02,6713.390625
2505,2015-04-03,6108.739583333333
2506,2015-04-04,5999.744270833333
2507,2015-04-05,6517.222916666667
2508,2015-04-06,7148.305208333334
2509,2015-04-07,6607.2065625000005
2510,2015-04-08,8033.678020833334
2511,2015-04-09,7544.979166666667
2512,2015-04-10,6816.541666666667
2513,2015-04-11,6758.548333333333
2514,2015-04-12,6681.906875000001
2515,2015-04-13,5770.45625
2516,2015-04-14,6860.610416666666
2517,2015-04-15,6903.95
2518,2015-04-16,6184.444791666666
2519,2015-04-17,5956.341666666667
2520,2015-04-18,5706.066666666667
2521,2015-04-19,5331.104166666667
2522,2015-04-20,5666.004895833333
2523,2015-04-21,5518.029270833334
2524,2015-04-22,5994.953541666667
2525,2015-04-23,5129.865624999999
2526,2015-04-24,4722.8409375
2527,2015-04-25,5755.965208333334
2528,2015-04-26,6868.197916666667
2529,2015-04-27,6747.764583333334
2530,2015-04-28,6081.0125
2531,2015-04-29,6671.377083333333
2532,2015-04-30,6988.1251041666665
2533,2015-05-01,6316.611875
2534,2015-05-02,5732.520833333333
2535,2015-05-03,5717.49875
2536,2015-05-04,6037.9061458333335
2537,2015-05-05,6381.821875000001
2538,2015-05-06,6322.670833333334
2539,2015-05-07,6668.742708333334
2540,2015-05-08,6896.865624999999
2541,2015-05-09,6802.388541666667
2542,2015-05-10,6619.027083333333
2543,2015-05-11,6656.041666666667
2544,2015-05-12,7227.364583333333
2545,2015-05-13,7131.686458333334
2546,2015-05-14,7991.089583333333
2547,2015-05-15,7883.848958333333
2548,2015-05-16,8226.372916666667
2549,2015-05-17,7927.880729166667
2550,2015-05-18,8076.288541666666
2551,2015-05-19,8169.885416666667
2552,2015-05-20,8232.882291666667
2553,2015-05-21,8454.9375
2554,2015-05-22,8523.601041666667
2555,2015-05-23,8260.645833333334
2556,2015-05-24,8304.375
2557,2015-05-25,8182.520833333333
2558,2015-05-26,8041.65625
2559,2015-05-27,7739.858229166667
2560,2015-05-28,7478.926041666667
2561,2015-05-29,7463.307395833333
2562,2015-05-30,7358.150104166666
2563,2015-05-31,6828.405208333334
2564,2015-06-01,7009.145833333333
2565,2015-06-02,7229.718020833333
2566,2015-06-03,6777.413541666666
2567,2015-06-04,7228.790625000001
2568,2015-06-05,7099.066458333334
2569,2015-06-06,6935.583645833333
2570,2015-06-07,7336.451458333333
2571,2015-06-08,7159.223958333333
2572,2015-06-09,6319.972916666666
2573,2015-06-10,7266.358333333334
2574,2015-06-11,6735.638541666667
2575,2015-06-12,6715.696979166667
2576,2015-06-13,6921.151770833334
2577,2015-06-14,6532.2628125
2578,2015-06-15,6537.783333333333
2579,2015-06-16,6725.28625
2580,2015-06-17,6526.829166666666
2581,2015-06-18,6457.822916666667
2582,2015-06-19,6909.342708333334
2583,2015-06-20,6687.1518750000005
2584,2015-06-21,6339.497291666667
2585,2015-06-22,7302.258020833334
2586,2015-06-23,7158.9909375
2587,2015-06-24,7005.427083333333
2588,2015-06-25,7040.322916666667
2589,2015-06-26,6799.40625
2590,2015-06-27,6635.53125
2591,2015-06-28,6979.378645833333
2592,2015-06-29,7059.390625
2593,2015-06-30,7142.330520833333
2594,2015-07-01,6893.4375
2595,2015-07-02,6975.456666666666
2596,2015-07-03,7123.604166666667
2597,2015-07-04,7045.5625
2598,2015-07-05,6755.269270833333
2599,2015-07-06,7559.584895833334
2600,2015-07-07,7736.151666666668
2601,2015-07-08,7533.558333333333
2602,2015-07-09,7807.333333333333
2603,2015-07-10,8169.84375
2604,2015-07-11,8255.13125
2605,2015-07-12,8486.715624999999
2606,2015-07-13,8933.270833333334
2607,2015-07-14,8735.752708333333
2608,2015-07-15,8708.342708333334
2609,2015-07-16,8484.715208333333
2610,2015-07-17,8831.5
2611,2015-07-18,8816.03125
2612,2015-07-19,9197.708333333334
2613,2015-07-20,8456.395833333334
2614,2015-07-21,8057.303854166666
2615,2015-07-22,7824.465625
2616,2015-07-23,7798.168958333333
2617,2015-07-24,7616.208333333333
2618,2015-07-25,7100.607916666667
2619,2015-07-26,7019.404687499999
2620,2015-07-27,7809.208333333333
2621,2015-07-28,7948.916666666667
2622,2015-07-29,7830.083333333333
2623,2015-07-30,7471.309375
2624,2015-07-31,7798.198333333334
2625,2015-08-01,7553.991666666666
2626,2015-08-02,7388.4998958333335
2627,2015-08-03,7302.7290625
2628,2015-08-04,7493.5309375
2629,2015-08-05,7835.997604166667
2630,2015-08-06,7737.520833333333
2631,2015-08-07,7467.385416666667
2632,2015-08-08,7566.927083333333
2633,2015-08-09,7918.447916666667
2634,2015-08-10,7826.548958333333
2635,2015-08-11,7846.900104166667
2636,2015-08-12,8090.05
2637,2015-08-13,8203.135416666666
2638,2015-08-14,7868.168541666667
2639,2015-08-15,7906.473333333332
2640,2015-08-16,7371.236979166667
2641,2015-08-17,6992.079166666667
2642,2015-08-18,6567.651041666667
2643,2015-08-19,6962.295833333334
2644,2015-08-20,7212.465625
2645,2015-08-21,7004.34875
2646,2015-08-22,6915.114583333333
2647,2015-08-23,6756.732291666667
2648,2015-08-24,7304.03125
2649,2015-08-25,8515.375
2650,2015-08-26,8511.338541666666
2651,2015-08-27,9078.28125
2652,2015-08-28,9108.864583333334
2653,2015-08-29,8982.375
2654,2015-08-30,9044.5
2655,2015-08-31,8996.46875
2656,2015-09-01,8547.247916666667
2657,2015-09-02,8309.402083333332
2658,2015-09-03,8273.252083333333
2659,2015-09-04,8049.739583333333
