,NH3 mg/L N,Time
799,1.07,2012-10-08
800,1.03,2012-10-09
801,0.732,2012-10-10
802,1.19,2012-10-11
803,1.04,2012-10-12
804,1.04,2012-10-13
805,0.9540000000000001,2012-10-14
806,0.991,2012-10-15
807,1.02,2012-10-16
808,1.17,2012-10-17
809,0.76,2012-10-18
810,1.08,2012-10-19
811,1.05,2012-10-20
812,1.0,2012-10-21
813,0.9940000000000001,2012-10-22
814,0.927,2012-10-23
815,1.0,2012-10-24
816,0.87,2012-10-25
817,1.02,2012-10-26
818,0.9129999999999999,2012-10-27
819,0.9359999999999999,2012-10-28
820,0.8440000000000001,2012-10-29
821,0.9309999999999999,2012-10-30
822,0.86,2012-10-31
823,1.02,2012-11-01
824,0.982,2012-11-02
825,1.01,2012-11-03
826,0.74,2012-11-04
827,0.914,2012-11-05
828,0.996,2012-11-06
829,0.943,2012-11-07
830,1.07,2012-11-08
831,1.03,2012-11-09
832,1.03,2012-11-10
833,0.703,2012-11-11
834,0.961,2012-11-12
835,1.02,2012-11-13
836,1.07,2012-11-14
837,1.01,2012-11-15
838,1.06,2012-11-16
839,0.9259999999999999,2012-11-17
840,1.04,2012-11-18
841,1.1,2012-11-19
842,1.18,2012-11-20
843,1.14,2012-11-21
844,1.14,2012-11-22
845,1.06,2012-11-23
846,1.06,2012-11-24
847,0.853,2012-11-25
848,0.955,2012-11-26
849,1.21,2012-11-27
850,1.12,2012-11-28
851,1.13,2012-11-29
852,1.12,2012-11-30
853,0.7879999999999999,2012-12-01
854,1.04,2012-12-02
855,1.02,2012-12-03
856,1.16,2012-12-04
857,1.08,2012-12-05
858,1.19,2012-12-06
859,0.8490000000000001,2012-12-07
860,1.36,2012-12-08
861,0.937,2012-12-09
862,0.977,2012-12-10
863,1.22,2012-12-11
864,1.46,2012-12-12
865,1.3,2012-12-13
866,0.9520000000000001,2012-12-14
867,1.26,2012-12-15
868,1.02,2012-12-16
869,1.03,2012-12-17
870,1.13,2012-12-18
871,0.8959999999999999,2012-12-19
872,1.33,2012-12-20
873,0.9520000000000001,2012-12-21
874,0.9390000000000001,2012-12-22
875,0.938,2012-12-23
876,0.8640000000000001,2012-12-24
877,0.961,2012-12-25
878,1.13,2012-12-26
879,0.804,2012-12-27
880,0.963,2012-12-28
881,0.887,2012-12-29
882,0.762,2012-12-30
883,0.929,2012-12-31
884,0.892,2013-01-01
885,0.951,2013-01-02
886,1.08,2013-01-03
887,1.04,2013-01-04
888,0.927,2013-01-05
889,0.941,2013-01-06
890,0.8370000000000001,2013-01-07
891,0.853,2013-01-08
892,0.7090000000000001,2013-01-09
893,0.804,2013-01-10
894,0.951,2013-01-11
895,0.843,2013-01-12
896,0.8140000000000001,2013-01-13
897,0.341,2013-01-14
898,1.33,2013-01-15
899,1.35,2013-01-16
900,1.03,2013-01-17
901,1.07,2013-01-18
902,0.898,2013-01-19
903,1.02,2013-01-20
904,1.11,2013-01-21
905,0.897,2013-01-22
906,1.03,2013-01-23
907,0.727,2013-01-24
908,0.594,2013-01-25
909,0.726,2013-01-26
910,0.518,2013-01-27
911,0.782,2013-01-28
912,0.632,2013-01-29
913,0.693,2013-01-30
914,0.43,2013-01-31
915,1.29,2013-02-01
916,1.06,2013-02-02
917,1.07,2013-02-03
918,0.892,2013-02-04
919,1.16,2013-02-05
920,1.13,2013-02-06
921,1.17,2013-02-07
922,1.09,2013-02-08
923,1.1,2013-02-09
924,1.09,2013-02-10
925,1.08,2013-02-11
926,1.13,2013-02-12
927,1.04,2013-02-13
928,1.27,2013-02-14
929,1.22,2013-02-15
930,1.23,2013-02-16
931,1.23,2013-02-17
932,1.1,2013-02-18
933,1.01,2013-02-19
934,1.03,2013-02-20
935,1.08,2013-02-21
936,1.06,2013-02-22
937,1.1,2013-02-23
938,1.08,2013-02-24
939,1.09,2013-02-25
940,1.12,2013-02-26
941,1.13,2013-02-27
942,1.03,2013-02-28
943,1.02,2013-03-01
944,1.0,2013-03-02
945,1.01,2013-03-03
946,1.02,2013-03-04
947,1.0,2013-03-05
948,0.96,2013-03-06
949,0.9329999999999999,2013-03-07
950,0.9229999999999999,2013-03-08
951,0.983,2013-03-09
952,0.897,2013-03-10
953,0.895,2013-03-11
954,1.02,2013-03-12
955,1.11,2013-03-13
956,1.06,2013-03-14
957,1.02,2013-03-15
958,1.08,2013-03-16
959,1.05,2013-03-17
960,1.05,2013-03-18
961,1.1,2013-03-19
962,1.11,2013-03-20
963,1.03,2013-03-21
964,0.975,2013-03-22
965,0.976,2013-03-23
966,0.983,2013-03-24
967,1.03,2013-03-25
968,0.9420000000000001,2013-03-26
969,1.06,2013-03-27
970,1.02,2013-03-28
971,1.1,2013-03-29
972,1.06,2013-03-30
973,1.08,2013-03-31
974,0.941,2013-04-01
975,0.93,2013-04-02
976,0.9359999999999999,2013-04-03
977,0.968,2013-04-04
978,0.9540000000000001,2013-04-05
979,1.0,2013-04-06
980,0.905,2013-04-07
981,1.0,2013-04-08
982,0.973,2013-04-09
983,0.948,2013-04-10
984,0.92,2013-04-11
985,0.972,2013-04-12
986,0.9159999999999999,2013-04-13
987,0.92,2013-04-14
988,0.8140000000000001,2013-04-15
989,0.825,2013-04-16
990,0.841,2013-04-17
991,0.804,2013-04-18
992,1.12,2013-04-19
993,0.993,2013-04-20
994,1.01,2013-04-21
995,1.05,2013-04-22
996,0.992,2013-04-23
997,1.01,2013-04-24
998,1.14,2013-04-25
999,0.853,2013-04-26
1000,1.01,2013-04-27
1001,0.99,2013-04-28
1002,0.904,2013-04-29
1003,0.6065,2013-04-30
1004,0.922,2013-05-01
1005,0.917,2013-05-02
1006,0.951,2013-05-03
1007,0.899,2013-05-04
1008,0.857,2013-05-05
1009,0.3045666666666667,2013-05-06
1010,0.767,2013-05-07
1011,0.695,2013-05-08
1012,0.684,2013-05-09
1013,0.645,2013-05-10
1014,0.8540000000000001,2013-05-11
1015,0.9590000000000001,2013-05-12
1016,0.36833333333333335,2013-05-13
1017,0.983,2013-05-14
1018,1.01,2013-05-15
1019,0.953,2013-05-16
1020,0.789,2013-05-17
1021,0.93,2013-05-18
1022,1.02,2013-05-19
1023,0.992,2013-05-20
1024,0.44,2013-05-21
1025,1.03,2013-05-22
1026,0.9740000000000001,2013-05-23
1027,1.08,2013-05-24
1028,1.08,2013-05-25
1029,0.9890000000000001,2013-05-26
