,Date,flow mgd,NH3 mg/L N,NO3 mg/L N,NO2 mg/L N,TP mg/L P,TKN mg/L N
671,1994-07-06,,,,,,
672,1994-07-07,1.22,,,,,
673,1994-07-08,14.92,,,,,
674,1994-07-09,20.4,,,,,
675,1994-07-10,30.78,1.8,,,,
676,1994-07-11,29.74,,,,,
677,1994-07-12,29.93,2.2,0.7,0.2,,
678,1994-07-13,29.76,,,,,
679,1994-07-14,30.49,2.8,,,,
680,1994-07-15,27.68,,,,,
681,1994-07-16,29.4,,,,,
682,1994-07-17,29.66,,,,,
683,1994-07-18,29.99,,,,,
684,1994-07-19,31.3,3.7,0.9,0.04,,
685,1994-07-20,38.04,,,,,
686,1994-07-21,30.81,3.8,,,,
687,1994-07-22,35.15,,,,,
688,1994-07-23,34.09,,,,,
689,1994-07-24,33.8,4.5,,,,
690,1994-07-25,25.73,,,,,
691,1994-07-26,25.65,4.7,0.3,0.03,,
692,1994-07-27,22.73,,,,,
693,1994-07-28,21.94,3.8,,,,
694,1994-07-29,28.22,,,,,
695,1994-07-30,26.87,,,,,
696,1994-07-31,30.44,4.6,,,,
697,1994-08-01,0.69,,,,,
698,1994-08-02,,,,,,
699,1994-08-03,27.74,,,,,
700,1994-08-04,7.25,,,,,
701,1994-08-05,27.11,,,,,
702,1994-08-06,31.78,,,,,
703,1994-08-07,32.5,5.8,,,,
704,1994-08-08,32.38,,,,,
705,1994-08-09,30.57,6.8,0.2,0.63,,
706,1994-08-10,25.28,,,,,
707,1994-08-11,27.58,,,,,
708,1994-08-12,32.17,,,,,
709,1994-08-13,30.45,,,,,
710,1994-08-14,32.29,6.0,,,,
711,1994-08-15,,,,,,
712,1994-08-16,15.66,4.2,1.2,0.13,,
713,1994-08-17,30.71,,,,,
714,1994-08-18,30.63,4.5,,,,
715,1994-08-19,30.4,,,,,
716,1994-08-20,29.89,,,,,
717,1994-08-21,30.65,4.6,,,,
718,1994-08-22,14.68,,,,,
719,1994-08-23,,,,,,
720,1994-08-24,,,,,,
721,1994-08-25,,,,,,
722,1994-08-26,,,,,,
723,1994-08-27,,,,,,
724,1994-08-28,,,,,,
725,1994-08-29,23.2,,,,,
726,1994-08-30,31.11,3.6,0.1,0.03,,
727,1994-08-31,31.31,,,,,
728,1994-09-01,31.17,3.5,,,,
729,1994-09-02,32.73,,,,,
730,1994-09-03,29.8,,,,,
731,1994-09-04,22.66,,,,,
732,1994-09-05,,,,,,
733,1994-09-06,,,,,,
734,1994-09-07,14.31,,,,,
735,1994-09-08,30.83,5.1,,,,
736,1994-09-09,34.17,,,,,
737,1994-09-10,33.51,,,,,
738,1994-09-11,16.21,6.0,,,,
739,1994-09-12,24.52,,,,,
740,1994-09-13,34.84,6.1,0.1,0.02,,
741,1994-09-14,35.73,,,,,
742,1994-09-15,35.38,5.7,,,,
743,1994-09-16,35.67,,,,,
744,1994-09-17,19.5,,,,,
745,1994-09-18,,,,,,
746,1994-09-19,24.06,,,,,
747,1994-09-20,34.91,5.7,0.1,0.02,,
748,1994-09-21,36.21,,,,,
749,1994-09-22,35.16,4.5,,,,
750,1994-09-23,34.9,,,,,
751,1994-09-24,36.18,,,,,
752,1994-09-25,21.74,6.2,,,,
753,1994-09-26,30.36,,,,,
754,1994-09-27,30.83,,,,,
755,1994-09-28,30.87,,,,,
756,1994-09-29,30.89,7.0,0.1,0.03,,
757,1994-09-30,30.39,,,,,
758,1994-10-01,27.46,,,,,
759,1994-10-02,31.0,6.9,,,,
760,1994-10-03,30.46,,,,,
761,1994-10-04,30.54,9.7,0.1,0.04,,
