,Date,NH3 mg/L N,flow mgd,NO3 mg/L N,NO2 mg/L N,N+N mg/L N,N mg/L N
1080,2012-08-16,,5.2683333333333335,,,,
1081,2012-08-17,,3.2465,,,,
1082,2012-08-18,,6.286,,,,
1083,2012-08-19,,6.369999999999999,,,,
1084,2012-08-21,,5.387666666666667,,,,
1085,2012-08-22,,5.0489999999999995,,,,
1086,2012-08-23,,4.642666666666667,,,,
1087,2012-08-24,,4.917666666666666,,,,
1088,2012-08-25,,4.437333333333334,,,,
1089,2012-08-26,,4.648,,,,
1090,2012-08-28,,4.249,,,,
1091,2012-08-29,,4.555,,,,
1092,2012-08-30,,5.017666666666666,,,,
1093,2012-08-31,,4.807333333333333,,,,
1094,2012-09-02,,6.304,,,,
1095,2012-09-03,,6.593999999999999,,,,
1096,2012-09-05,,6.1825,,,,
1097,2012-09-06,,6.0205,,,,
1098,2012-09-07,,5.853999999999999,,,,
1099,2012-09-09,,6.022,,,,
1100,2012-09-10,,5.9315,,,,
1101,2012-09-12,,4.580666666666667,,,,
1102,2012-09-13,,4.13,,,,
1103,2012-09-14,,6.2875,,,,
1104,2012-09-15,,7.1175,,,,
1105,2012-09-16,,6.8,,,,
1106,2012-09-17,,6.68,,,,
1107,2012-09-19,,6.856,,,,
1108,2012-09-20,,6.882,,,,
1109,2012-09-21,,6.8415,,,,
1110,2012-09-22,,6.788500000000001,,,,
1111,2012-09-23,,6.808999999999999,,,,
1112,2012-09-25,,6.987500000000001,,,,
1113,2012-09-26,,6.853,,,,
1114,2012-09-27,,6.724,,,,
1115,2012-09-28,,6.7795000000000005,,,,
1116,2012-09-29,,6.890000000000001,,,,
1117,2012-09-30,,6.7995,,,,
1118,2012-10-02,,6.529999999999999,,,,
1119,2012-10-03,,5.7585,,,,
1120,2012-10-04,,6.632000000000001,,,,
1121,2012-10-05,,6.6370000000000005,,,,
1122,2012-10-06,,6.773,,,,
1123,2012-10-07,,6.795,,,,
1124,2012-10-09,,6.194000000000001,,,,
1125,2012-10-10,,5.074000000000001,,,,
1126,2012-10-11,,5.839,,,,
1127,2012-10-12,,6.1955,,,,
1128,2012-10-13,,4.7855,,,,
1129,2012-10-14,,5.298,,,,
1130,2012-10-16,,5.9345,,,,
1131,2012-10-17,,5.9915,,,,
1132,2012-10-18,,6.4590000000000005,,,,
1133,2012-10-19,,6.5809999999999995,,,,
1134,2012-10-20,,6.721,,,,
1135,2012-10-21,,6.6355,,,,
1136,2012-10-23,,7.2059999999999995,,,,
1137,2012-10-24,,6.718,,,,
1138,2012-10-25,,6.5625,,,,
1139,2012-10-26,,6.5435,,,,
1140,2012-10-27,,6.5255,,,,
1141,2012-10-28,,6.547000000000001,,,,
1142,2012-10-29,,6.3515,,,,
1143,2012-10-31,,5.4030000000000005,,,,
1144,2012-11-01,,6.060499999999999,,,,
1145,2012-11-02,,7.0600000000000005,,,,
1146,2012-11-03,,7.163499999999999,,,,
1147,2012-11-04,,7.221,,,,
1148,2012-11-06,,5.292,,,,
1149,2012-11-07,,7.615500000000001,,,,
1150,2012-11-08,,7.1575,,,,
1151,2012-11-09,,7.1295,,,,
1152,2012-11-10,,7.0275,,,,
1153,2012-11-11,,6.92,,,,
1154,2012-11-12,,6.9885,,,,
1155,2012-11-14,,6.29,,,,
1156,2012-11-15,,6.766,,,,
1157,2012-11-16,,6.7745,,,,
1158,2012-11-17,,6.8965,,,,
1159,2012-11-18,,6.9785,,,,
1160,2012-11-20,,6.5685,,,,
1161,2012-11-21,,6.522,,,,
1162,2012-11-22,,5.746,,,,
1163,2012-11-23,,5.556,,,,
1164,2012-11-24,,6.0375,,,,
1165,2012-11-25,,6.282500000000001,,,,
1166,2012-11-27,,6.341,,,,
1167,2012-11-28,,6.266500000000001,,,,
1168,2012-11-29,,6.201499999999999,,,,
1169,2012-11-30,,6.247999999999999,,,,
1170,2012-12-01,,6.4605,,,,
1171,2012-12-02,,7.295,,,,
1172,2012-12-04,,6.4395,,,,
1173,2012-12-05,,6.819,,,,
1174,2012-12-06,,5.8100000000000005,,,,
1175,2012-12-07,,5.914,,,,
1176,2012-12-08,,5.127,,,,
1177,2012-12-09,,5.458500000000001,,,,
1178,2012-12-10,,5.212,,,,
1179,2012-12-12,,6.971,,,,
1180,2012-12-13,,6.5575,,,,
1181,2012-12-14,,6.683,,,,
1182,2012-12-15,,6.414,,,,
1183,2012-12-16,,6.343,,,,
1184,2012-12-18,,6.369,,,,
1185,2012-12-19,,6.5009999999999994,,,,
1186,2012-12-20,,6.4025,,,,
1187,2012-12-21,,6.408999999999999,,,,
1188,2012-12-22,,6.2844999999999995,,,,
1189,2012-12-23,,6.9815000000000005,,,,
1190,2012-12-24,,6.888,,,,
1191,2012-12-25,,7.0024999999999995,,,,
1192,2012-12-27,,6.614000000000001,,,,
1193,2012-12-28,,6.032500000000001,,,,
1194,2012-12-29,,6.095,,,,
1195,2012-12-30,,5.883,,,,
1196,2012-12-31,,6.2379999999999995,,,,
1197,2013-01-01,,6.0895,,,,
1198,2013-01-03,,6.24,,,,
1199,2013-01-04,,6.18,,,,
1200,2013-01-05,,6.327,,,,
1201,2013-01-06,,6.528499999999999,,,,
1202,2013-01-08,,6.4815,,,,
1203,2013-01-09,,6.124499999999999,,,,
1204,2013-01-10,,6.3035,,,,
1205,2013-01-11,,6.2315000000000005,,,,
1206,2013-01-12,,6.172499999999999,,,,
1207,2013-01-13,,6.265000000000001,,,,
1208,2013-01-15,,5.9945,,,,
1209,2013-01-16,,6.205,,,,
1210,2013-01-17,,6.262,,,,
1211,2013-01-18,,6.253,,,,
1212,2013-01-19,,6.1690000000000005,,,,
1213,2013-01-20,,5.997,,,,
1214,2013-01-21,,5.7315000000000005,,,,
1215,2013-01-23,,6.221,,,,
1216,2013-01-24,,6.186999999999999,,,,
1217,2013-01-25,,6.2355,,,,
1218,2013-01-26,,6.308,,,,
1219,2013-01-27,,5.614,,,,
1220,2013-01-29,,6.249499999999999,,,,
1221,2013-01-30,,6.195,,,,
1222,2013-01-31,,6.0809999999999995,,,,
1223,2013-02-01,,6.0649999999999995,,,,
1224,2013-02-02,,6.0265,,,,
1225,2013-02-03,,5.775,,,,
1226,2013-02-05,,6.136000000000001,,,,
1227,2013-02-06,,6.170499999999999,,,,
1228,2013-02-07,,6.1895,,,,
1229,2013-02-08,,6.1475,,,,
1230,2013-02-09,,5.758,,,,
1231,2013-02-10,,6.3525,,,,
1232,2013-02-12,,3.622666666666667,,,,
1233,2013-02-13,,5.6739999999999995,,,,
1234,2013-02-14,,5.9735000000000005,,,,
1235,2013-02-15,,6.2204999999999995,,,,
1236,2013-02-16,,6.232,,,,
1237,2013-02-17,,5.7459999999999996,,,,
1238,2013-02-19,,6.07,,,,
1239,2013-02-20,,6.1815,,,,
1240,2013-02-21,,6.2065,,,,
1241,2013-02-22,,6.266,,,,
1242,2013-02-23,,5.863,,,,
1243,2013-02-24,,5.7905,,,,
1244,2013-02-26,,5.7955000000000005,,,,
1245,2013-02-27,,5.6274999999999995,,,,
1246,2013-02-28,,5.7170000000000005,,,,
1247,2013-03-01,,6.131500000000001,,,,
1248,2013-03-02,,6.134499999999999,,,,
1249,2013-03-05,,5.544333333333333,,,,
1250,2013-03-06,,5.9510000000000005,,,,
1251,2013-03-07,,5.853000000000001,,,,
1252,2013-03-08,,5.445666666666667,,,,
1253,2013-03-09,,5.36775,6.5,,,
1254,2013-03-12,,5.1866666666666665,,,,
1255,2013-03-13,,4.80225,,,,
1256,2013-03-14,,4.288,,,,
1257,2013-03-15,,3.4699999999999998,,,,
1258,2013-03-16,,6.2225,,,,
1259,2013-03-19,,4.159,,,,
1260,2013-03-20,,4.719,,,,
1261,2013-03-21,,3.6687499999999997,,,,
1262,2013-03-22,,6.028499999999999,,,,
1263,2013-03-23,,6.26,,,,
1264,2013-03-24,,6.153499999999999,,,,
1265,2013-03-26,,6.1225000000000005,,,,
1266,2013-03-27,,5.337,,,,
1267,2013-03-28,,6.202,,,,
1268,2013-03-29,,6.228,,,,
1269,2013-03-30,,6.284000000000001,,,,
1270,2013-03-31,,7.0634999999999994,,,,
1271,2013-04-02,,6.488,,,,
1272,2013-04-03,,6.574,,,,
1273,2013-04-04,,6.82,,,,
1274,2013-04-05,,6.297000000000001,,,,
1275,2013-04-06,,6.6505,,,,
1276,2013-04-07,,6.553999999999999,,,,
1277,2013-04-09,,6.284000000000001,,,,
1278,2013-04-10,,6.3435,,,,
1279,2013-04-12,,6.0969999999999995,,,,
1280,2013-04-13,,7.263,,,,
1281,2013-04-16,,6.480666666666667,,,,
1282,2013-04-17,,6.029,,,,
1283,2013-04-18,,5.972333333333332,,,,
1284,2013-04-19,,6.151,,,,
1285,2013-04-20,,3.75375,,,,
1286,2013-04-23,,4.317,,,,
1287,2013-04-24,,4.376666666666666,,,,
1288,2013-04-25,,3.7742500000000003,,,,
1289,2013-04-26,,4.202249999999999,,,,
1290,2013-04-27,,5.853333333333333,,,,
1291,2013-04-29,,6.627,,,,
1292,2013-04-30,,6.225999999999999,,,,
1293,2013-05-01,,6.09,,,,
1294,2013-05-02,,5.905333333333334,,,,
1295,2013-05-03,,6.180666666666667,,,,
1296,2013-05-04,,6.639,,,,
1297,2013-05-06,,6.169666666666667,,,,
1298,2013-05-07,,6.196333333333333,,,,
1299,2013-05-08,,6.327333333333335,,,,
1300,2013-05-10,,5.1739999999999995,,,,
1301,2013-05-11,,6.343500000000001,,,,
1302,2013-05-12,,6.624499999999999,,,,
1303,2013-05-14,,6.7515,,,,
1304,2013-05-15,,6.805999999999999,,,,
1305,2013-05-16,,6.4719999999999995,,,,
1306,2013-05-17,,6.6240000000000006,,,,
1307,2013-05-18,,6.943,,,,
1308,2013-05-19,,6.365500000000001,,,,
1309,2013-05-21,,6.5409999999999995,,,,
1310,2013-05-22,,6.16,,,,
1311,2013-05-23,,6.1495,,,,
1312,2013-05-24,,6.1899999999999995,,,,
1313,2013-05-29,,4.45925,,,,
1314,2013-05-30,,3.5977499999999996,,,,
1315,2013-05-31,,5.046666666666667,,,,
1316,2013-06-01,,5.944,,,,
1317,2013-06-04,,4.19675,,,,
1318,2013-06-05,,5.9606666666666674,,,,
1319,2013-06-06,,4.02625,,,,
1320,2013-06-07,,5.788333333333334,,,,
1321,2013-06-08,,6.0275,,,,
1322,2013-06-09,,6.1105,,,,
1323,2013-06-11,,6.444500000000001,,,,
1324,2013-06-12,,6.154,,,,
1325,2013-06-13,,6.080500000000001,,,,
1326,2013-06-14,,6.181,,,,
1327,2013-06-15,,6.295,,,,
1328,2013-06-16,,5.57,,,,
1329,2013-06-18,,6.5205,,,,
1330,2013-06-19,,6.2325,,,,
1331,2013-06-20,,6.138,,,,
1332,2013-06-21,,6.2475000000000005,,,,
1333,2013-06-22,,6.2540000000000004,,,,
1334,2013-06-23,,6.218500000000001,,,,
1335,2013-06-25,,6.068499999999999,,,,
1336,2013-06-27,,4.442,,,,
1337,2013-06-29,,4.8420000000000005,,,,
1338,2013-07-02,,3.923,,,,
1339,2013-07-03,,5.082,,,,
1340,2013-07-04,,4.2844999999999995,,,,
1341,2013-07-05,,4.297,,,,
1342,2013-07-06,,4.6065,,,,
1343,2013-07-07,,5.5425,,,,
1344,2013-07-11,,3.37225,,,,
1345,2013-07-12,,4.80425,,,,
1346,2013-07-13,,4.288499999999999,,,,
1347,2013-07-14,,4.100499999999999,,,,
1348,2013-07-17,,4.042250000000001,,,,
1349,2013-07-18,,4.42425,,,,
1350,2013-07-19,,4.407500000000001,,,,
1351,2013-07-20,,4.68625,,,,
1352,2013-07-23,,3.99,,,,
1353,2013-07-24,,3.899666666666667,,,,
1354,2013-07-25,,4.1259999999999994,,,,
1355,2013-07-26,,3.9247500000000004,,,,
1356,2013-07-27,,6.008000000000001,,,,
1357,2013-07-28,,6.3420000000000005,,,,
1358,2013-07-31,,4.2905,,,,
1359,2013-08-01,,4.48125,,,,
1360,2013-08-02,,4.1325,,,,
1361,2013-08-03,,4.37775,,,,
1362,2013-08-04,,4.13275,,,,
1363,2013-08-07,,6.626,,,,
1364,2013-08-08,,3.5535,,,,
1365,2013-08-09,,4.31625,,,,
1366,2013-08-10,,4.6175,,,,
1367,2013-08-11,,4.238666666666666,,,,
1368,2013-08-13,,4.750249999999999,,,,
1369,2013-08-14,,4.328625000000001,,,,
1370,2013-08-15,,4.78025,,,,
1371,2013-08-16,,3.402,,,,
1372,2013-08-17,,6.366,,,,
1373,2013-08-18,,4.6723333333333334,,,,
1374,2013-08-20,,3.784,,,,
1375,2013-08-21,,4.747249999999999,,,,
1376,2013-08-23,,4.0809999999999995,,,,
1377,2013-08-24,,4.5145,,,,
1378,2013-08-25,,4.44725,,,,
1379,2013-08-28,,3.45375,,,,
1380,2013-08-29,,5.5835,,,,
1381,2013-08-30,,6.0665000000000004,,,,
1382,2013-08-31,,6.492000000000001,,,,
1383,2013-09-01,,6.3245000000000005,,,,
1384,2013-09-04,,5.00375,,,,
1385,2013-09-05,,3.70875,,,,
1386,2013-09-06,,3.9877499999999997,,,,
1387,2013-09-07,,4.3157499999999995,,,,
1388,2013-09-10,,5.048333333333333,,,,
1389,2013-09-11,,4.14,,,,
1390,2013-09-12,,5.12025,,,,
1391,2013-09-13,,4.73325,,,,
1392,2013-09-14,,4.66925,,,,
1393,2013-09-15,,4.206250000000001,,,,
1394,2013-09-17,,4.1615,,,,
1395,2013-09-18,,6.372,,,,
1396,2013-09-19,,6.286,,,,
1397,2013-09-20,,6.1615,,,,
1398,2013-09-21,,6.5875,,,,
1399,2013-09-22,,6.4505,,,,
1400,2013-09-24,,4.0607500000000005,,,,
1401,2013-09-25,,5.1425,,,,
1402,2013-09-26,,5.05275,,,,
1403,2013-09-27,,4.7844999999999995,,,,
1404,2013-09-28,,4.00075,,,,
1405,2013-09-29,,6.0975,,,,
1406,2013-10-01,,6.4385,,,,
1407,2013-10-02,,6.0995,,,,
1408,2013-10-03,,6.172,,,,
1409,2013-10-04,,6.378,,,,
1410,2013-10-05,,6.6805,,,,
1411,2013-10-06,,6.728999999999999,,,,
1412,2013-10-09,,6.5845,,,,
1413,2013-10-10,,6.5344999999999995,,,,
1414,2013-10-11,,6.5264999999999995,,,,
1415,2013-10-12,,6.6745,,,,
1416,2013-10-13,,6.6315,,,,
1417,2013-10-15,,6.4405,,,,
1418,2013-10-16,,6.0525,,,,
1419,2013-10-17,,6.026,,,,
1420,2013-10-18,,6.241,,,,
1421,2013-10-19,,6.484,,,,
1422,2013-10-20,,6.7010000000000005,,,,
1423,2013-10-22,,5.984,,,,
1424,2013-10-23,,6.9565,,,,
1425,2013-10-24,,7.128,,,,
1426,2013-10-25,,6.493,,,,
1427,2013-10-26,,6.023999999999999,,,,
1428,2013-10-27,,5.73,,,,
1429,2013-10-30,,3.0985,,,,
1430,2013-10-31,,6.0095,,,,
1431,2013-11-01,,5.672,,,,
1432,2013-11-02,,5.9285000000000005,,,,
1433,2013-11-03,,6.079,,,,
1434,2013-11-05,,6.7829999999999995,,,,
1435,2013-11-06,,6.534,,,,
1436,2013-11-07,,6.1935,,,,
1437,2013-11-08,,6.0645,,,,
1438,2013-11-09,,6.243500000000001,,,,
1439,2013-11-10,,6.711499999999999,,,,
1440,2013-11-12,,6.454,,,,
1441,2013-11-13,,6.324,,,,
1442,2013-11-15,,6.3,,,,
1443,2013-11-16,,6.4145,,,,
1444,2013-11-17,,6.6335,,,,
1445,2013-11-19,,6.448,,,,
1446,2013-11-20,,6.996499999999999,,,,
1447,2013-11-21,,7.1955,,,,
1448,2013-11-22,,7.3195,,,,
1449,2013-11-23,,7.217,,,,
1450,2013-11-24,,7.342499999999999,,,,
1451,2013-11-26,,7.195,,,,
1452,2013-11-27,,6.5705,,,,
1453,2013-11-28,,6.612500000000001,,,,
1454,2013-11-29,,5.968,,,,
1455,2013-11-30,,5.71,,,,
1456,2013-12-01,,5.859,,,,
1457,2013-12-03,,5.829,,,,
1458,2013-12-05,,6.270999999999999,,,,
1459,2013-12-06,,6.0905000000000005,,,,
1460,2013-12-07,,6.1015,,,,
1461,2013-12-08,,6.0725,,,,
1462,2013-12-10,,6.3315,,,,
1463,2013-12-11,,6.0305,,,,
1464,2013-12-12,,5.921,,,,
1465,2013-12-13,,6.0655,,,,
1466,2013-12-14,,6.1445,,,,
1467,2013-12-15,,5.689,,,,
1468,2013-12-17,,6.104500000000001,,,,
1469,2013-12-18,,5.824999999999999,,,,
1470,2013-12-19,,5.892,,,,
1471,2013-12-20,,5.714,,,,
1472,2013-12-21,,6.0024999999999995,,,,
1473,2013-12-22,,6.0995,,,,
1474,2013-12-24,,6.2305,,,,
1475,2013-12-25,,5.856999999999999,,,,
1476,2013-12-26,,5.88,,,,
1477,2013-12-27,,5.601,,,,
1478,2013-12-28,,6.232000000000001,,,,
1479,2013-12-29,,6.234,,,,
1480,2013-12-31,,5.9125,,,,
1481,2014-01-01,,5.414999999999999,,,,
1482,2014-01-02,,5.455,,,,
1483,2014-01-03,,5.475,,,,
1484,2014-01-04,,6.075,,,,
1485,2014-01-05,,6.385,,,,
1486,2014-01-07,,5.75,,,,
1487,2014-01-08,,5.68,,,,
1488,2014-01-09,,5.555,,,,
1489,2014-01-10,,5.38,,,,
1490,2014-01-11,,5.52,,,,
1491,2014-01-12,,5.975,,,,
1492,2014-01-14,,5.49,,,,
1493,2014-01-15,,5.365,,,,
1494,2014-01-16,,5.470000000000001,,,,
1495,2014-01-17,,5.385,,,,
1496,2014-01-18,,5.99,,,,
1497,2014-01-19,,5.635,,,,
1498,2014-01-21,,5.65,,,,
1499,2014-01-22,,5.715,,,,
1500,2014-01-24,,5.539999999999999,,,,
1501,2014-01-25,,5.495,,,,
1502,2014-01-26,,5.369999999999999,,,,
1503,2014-01-28,,5.5600000000000005,,,,
1504,2014-01-29,,5.513999999999999,,,,
1505,2014-01-30,,5.531499999999999,,,,
1506,2014-01-31,,5.3795,,,,
1507,2014-02-01,,5.566,,,,
1508,2014-02-02,,5.6015,,,,
1509,2014-02-05,,6.1315,,,,
1510,2014-02-06,,5.8985,,,,
1511,2014-02-07,,5.6485,,,,
1512,2014-02-08,,5.5264999999999995,,,,
1513,2014-02-09,,5.4795,,,,
1514,2014-02-11,,5.4655000000000005,,,,
1515,2014-02-12,,5.74,,,,
1516,2014-02-13,,5.3965,,,,
1517,2014-02-14,,5.3645,,,,
1518,2014-02-15,,5.34,,,,
1519,2014-02-16,,5.518000000000001,,,,
1520,2014-02-18,,5.897,,,,
1521,2014-02-19,,5.534,,,,
1522,2014-02-20,,5.455,,,,
1523,2014-02-21,,5.59,,,,
1524,2014-02-22,,5.6365,,,,
1525,2014-02-23,,5.802,,,,
1526,2014-02-25,,5.416,,,,
1527,2014-02-26,,5.102,,,,
1528,2014-02-27,,5.584,,,,
1529,2014-02-28,,6.244,,,,
1530,2014-03-01,,6.36,,,,
1531,2014-03-02,,6.135,,,,
1532,2014-03-04,,6.055,,,,
1533,2014-03-06,,5.958,,,,
1534,2014-03-07,,5.7795000000000005,,,,
1535,2014-03-08,,5.9879999999999995,,,,
1536,2014-03-09,,5.583499999999999,,,,
1537,2014-03-11,,5.8635,,,,
1538,2014-03-12,,5.489000000000001,,,,
1539,2014-03-13,,5.583,,,,
1540,2014-03-14,,5.7540000000000004,,,,
1541,2014-03-15,,5.887499999999999,,,,
1542,2014-03-16,,6.1115,,,,
1543,2014-03-17,,5.81,,,,
1544,2014-03-18,,5.737500000000001,,,,
1545,2014-03-20,,5.853,,,,
1546,2014-03-21,,5.906000000000001,,,,
1547,2014-03-22,,6.0665,,,,
1548,2014-03-23,,6.134,,,,
1549,2014-03-25,,5.922,,,,
1550,2014-03-26,,5.9135,,,,
1551,2014-03-27,,5.676500000000001,,,,
1552,2014-03-28,,5.911,,,,
1553,2014-03-29,,6.1045,,,,
1554,2014-03-30,,6.1695,,,,
1555,2014-04-01,,5.901999999999999,,,,
1556,2014-04-02,,5.9295,,,,
1557,2014-04-03,,5.879,,,,
1558,2014-04-04,,5.895,,,,
1559,2014-04-05,,5.8765,,,,
1560,2014-04-06,,5.834,,,,
1561,2014-04-08,,5.9965,,,,
1562,2014-04-09,,5.8705,,,,
1563,2014-04-10,,6.045,,,,
1564,2014-04-11,,6.04,,,,
1565,2014-04-12,,5.9205000000000005,,,,
1566,2014-04-13,,6.128,,,,
1567,2014-04-15,,5.835,,,,
1568,2014-04-16,,5.876,,,,
1569,2014-04-17,,5.945,,,,
1570,2014-04-18,,5.8905,,,,
1571,2014-04-19,,5.8065,,,,
1572,2014-04-20,,5.7585,,,,
1573,2014-04-22,,5.9105,,,,
1574,2014-04-23,,5.7925,,,,
1575,2014-04-24,,5.8445,,,,
1576,2014-04-25,,5.8004999999999995,,,,
1577,2014-04-26,,5.8705,,,,
1578,2014-04-27,,6.0625,,,,
1579,2014-04-29,,5.5405,,,,
1580,2014-04-30,,5.849,,,,
1581,2014-05-01,,5.7669999999999995,,,,
1582,2014-05-02,,5.7885,,,,
1583,2014-05-03,,5.7885,,,,
1584,2014-05-04,,6.0954999999999995,,,,
1585,2014-05-07,,5.418333333333333,,,,
1586,2014-05-08,,3.37575,4.333333333333333,0.06,6.0,5.0
1587,2014-05-09,,5.956,,,,
1588,2014-05-10,,5.667,,,,
1589,2014-05-11,,6.212,,,,
1590,2014-05-13,,6.02,,,,
1591,2014-05-14,,5.827500000000001,,,,
1592,2014-05-15,,5.5365,,,,
1593,2014-05-16,,5.695,,,,
1594,2014-05-17,,5.8065,,,,
1595,2014-05-18,,5.784,,,,
1596,2014-05-20,,5.837999999999999,,,,
1597,2014-05-21,,5.9145,,,,
1598,2014-05-22,,5.4399999999999995,,,,
1599,2014-05-23,,5.850499999999999,,,,
1600,2014-05-24,,5.68,,,,
1601,2014-05-25,,5.943,,,,
1602,2014-05-27,,6.119999999999999,,,,
1603,2014-05-28,,6.138999999999999,,,,
1604,2014-05-30,,3.781,,,,
1605,2014-05-31,,3.7686666666666664,,,,
1606,2014-06-01,,4.095666666666666,,,,
1607,2014-06-03,,3.741666666666667,,,,
1608,2014-06-04,,3.8693333333333335,,,,
1609,2014-06-05,,4.035333333333334,,,,
1610,2014-06-06,,3.7620000000000005,,,,
1611,2014-06-07,,5.8475,,,,
1612,2014-06-08,,5.757000000000001,,,,
1613,2014-06-10,,3.9552500000000004,,,,
1614,2014-06-14,,4.058666666666666,,,,
1615,2014-06-15,,4.128666666666667,,,,
1616,2014-06-17,,5.8790000000000004,,,,
1617,2014-06-19,,3.503333333333334,,,,
1618,2014-06-20,,6.045,,,,
1619,2014-06-21,,6.033,,,,
1620,2014-06-22,,5.8765,,,,
1621,2014-06-24,,6.0775,,,,
1622,2014-06-25,,6.170999999999999,,,,
1623,2014-06-26,,5.9635,,,,
1624,2014-06-27,,5.7965,,,,
1625,2014-06-28,,6.008,,,,
1626,2014-06-29,,6.083500000000001,,,,
1627,2014-07-02,,6.6819999999999995,,,,
1628,2014-07-03,,5.971,,,,
1629,2014-07-04,,6.2313333333333345,,,,
1630,2014-07-05,,5.313666666666666,,,,
1631,2014-07-06,,5.881333333333334,,,,
1632,2014-07-09,,4.08,,,,
1633,2014-07-10,,4.153666666666667,,,,
1634,2014-07-11,,4.03,,,,
1635,2014-07-12,,4.6585,,,,
1636,2014-07-13,,3.9807500000000005,,,,
1637,2014-07-15,,6.268666666666667,,,,
1638,2014-07-16,,6.224,,,,
1639,2014-07-17,,5.856999999999999,,,,
1640,2014-07-18,,6.165333333333333,,,,
1641,2014-07-19,,6.091,,,,
1642,2014-07-22,,5.841,,,,
1643,2014-07-23,,5.9425,,,,
1644,2014-07-24,,5.995,,,,
1645,2014-07-25,,5.7219999999999995,,,,
1646,2014-07-26,,5.891,,,,
1647,2014-07-27,,5.8985,,,,
1648,2014-07-29,,5.830500000000001,,,,
1649,2014-08-01,,4.935666666666667,,,,
1650,2014-08-02,,5.869,,,,
1651,2014-08-03,,6.2173333333333325,,,,
1652,2014-08-05,,4.4384999999999994,,,,
1653,2014-08-06,,4.34575,,,,
1654,2014-08-08,,4.6933333333333325,,,,
1655,2014-08-09,,4.3015,,,,
1656,2014-08-10,,6.324000000000001,,,,
1657,2014-08-12,,4.16025,,,,
1658,2014-08-14,,5.660333333333333,,,,
1659,2014-08-15,,6.330333333333333,,,,
1660,2014-08-16,,5.7043333333333335,,,,
1661,2014-08-19,,5.135,,,,
1662,2014-08-20,,6.129,,,,
1663,2014-08-22,,6.1975,,,,
1664,2014-08-23,,6.3185,,,,
1665,2014-08-24,,6.146,,,,
1666,2014-08-27,,3.0752499999999996,,,,
1667,2014-08-28,,5.666666666666667,,,,
1668,2014-08-29,,6.007000000000001,,,,
1669,2014-08-30,,6.472333333333332,,,,
1670,2014-08-31,,5.850999999999999,,,,
1671,2014-09-02,,3.89825,,,,
1672,2014-09-03,,4.189666666666667,,,,
1673,2014-09-04,,4.202500000000001,,,,
1674,2014-09-05,,3.9387500000000006,,,,
1675,2014-09-06,,3.32925,,,,
1676,2014-09-07,,3.5,,,,
1677,2014-09-11,,4.088333333333334,,,,
1678,2014-09-12,,4.05725,,,,
1679,2014-09-13,,3.3295,,,,
1680,2014-09-14,,3.4547499999999998,,,,
1681,2014-09-16,,4.578666666666666,,,,
1682,2014-09-17,,5.792666666666666,,,,
1683,2014-09-18,,6.374666666666667,,,,
1684,2014-09-19,,6.046666666666667,,,,
1685,2014-09-20,,5.5793333333333335,,,,
1686,2014-09-21,,6.1306666666666665,,,,
1687,2014-09-23,,4.657,,,,
1688,2014-09-24,,4.114666666666667,,,,
1689,2014-09-25,,4.231333333333333,,,,
1690,2014-09-26,,4.444333333333334,,,,
1691,2014-09-27,,5.102,,,,
1692,2014-09-28,,6.7445,,,,
1693,2014-09-30,,4.716,,,,
1694,2014-10-01,,4.174666666666667,,,,
1695,2014-10-02,,4.31025,,,,
1696,2014-10-03,,4.016,,,,
1697,2014-10-04,,4.7255,,,,
1698,2014-10-07,,4.218,,,,
1699,2014-10-09,,4.249499999999999,,,,
1700,2014-10-10,,4.694,,,,
1701,2014-10-11,,6.229333333333333,,,,
1702,2014-10-12,,5.406666666666666,,,,
1703,2014-10-14,,4.31625,,,,
1704,2014-10-15,,3.8425000000000002,,,,
1705,2014-10-16,,5.899666666666666,,,,
1706,2014-10-17,,3.93475,,,,
1707,2014-10-18,,3.78225,,,,
1708,2014-10-19,,3.7312499999999997,,,,
1709,2014-10-21,,3.80525,,,,
1710,2014-10-22,,3.5032500000000004,,,,
1711,2014-10-23,,4.168666666666667,,,,
1712,2014-10-24,,3.5363333333333333,,,,
1713,2014-10-25,,6.1594999999999995,,,,
1714,2014-10-26,,6.6085,,,,
1715,2014-10-28,,4.6025,,,,
1716,2014-10-29,,4.7655,,,,
1717,2014-10-30,,6.734999999999999,,,,
1718,2014-10-31,,6.354,,,,
1719,2014-11-01,,6.2735,,,,
1720,2014-11-02,,6.2875,,,,
1721,2014-11-04,,4.738,,,,
1722,2014-11-05,,6.5345,,,,
1723,2014-11-06,,6.4805,,,,
1724,2014-11-07,,6.761,,,,
1725,2014-11-08,,6.9399999999999995,,,,
1726,2014-11-09,,6.865,,,,
1727,2014-11-11,,6.71,,,,
1728,2014-11-12,,6.7315000000000005,,,,
1729,2014-11-13,,6.348000000000001,,,,
1730,2014-11-14,,6.1690000000000005,,,,
1731,2014-11-15,,6.0465,,,,
1732,2014-11-16,,5.848,,,,
1733,2014-11-18,,6.055,,,,
1734,2014-11-20,,3.919333333333333,,,,
1735,2014-11-21,,5.8885,,,,
1736,2014-11-22,,6.2405,,,,
1737,2014-11-23,,5.9785,,,,
1738,2014-11-26,,5.969,,,,
1739,2014-11-27,,6.2780000000000005,,,,
1740,2014-11-28,,6.0045,,,,
1741,2014-11-29,,6.304499999999999,,,,
