,NH3 mg/L N,Time
555,0.1,2014-12-29 10:58:00
556,0.8,2015-01-05 08:12:00
557,0.1,2015-01-05 10:45:00
558,0.1,2015-01-05 10:49:00
559,1.3,2015-01-12 08:26:00
560,0.2,2015-01-12 10:45:00
561,0.2,2015-01-12 10:50:00
562,1.1,2015-01-19 08:10:00
563,0.1,2015-01-19 11:12:00
564,0.1,2015-01-19 11:20:00
565,1.3,2015-01-26 08:17:00
566,0.1,2015-01-26 10:59:00
567,0.1,2015-01-26 11:03:00
568,1.3,2015-02-02 08:09:00
569,0.2,2015-02-02 09:43:00
570,0.1,2015-02-02 10:00:00
571,1.1,2015-02-09 08:21:00
572,0.2,2015-02-09 10:31:00
573,0.1,2015-02-09 10:35:00
574,1.0,2015-02-16 07:24:00
575,0.1,2015-02-16 11:03:00
576,0.1,2015-02-16 11:07:00
577,2.0,2015-02-17 09:48:00
578,1.3,2015-02-23 08:10:00
579,0.1,2015-02-23 13:07:00
580,0.1,2015-02-23 13:10:00
581,1.1,2015-03-02 08:16:00
582,0.1,2015-03-02 08:49:00
583,0.1,2015-03-02 08:53:00
584,1.1,2015-03-03 07:55:00
585,0.5,2015-03-09 08:35:00
586,0.1,2015-03-09 10:44:00
587,0.1,2015-03-09 10:50:00
588,0.3,2015-03-16 08:25:00
589,0.2,2015-03-16 10:50:00
590,0.2,2015-03-16 10:53:00
591,0.9,2015-03-19 07:52:00
592,5.0,2015-03-23 07:30:00
593,0.6,2015-03-23 08:15:00
594,0.1,2015-03-23 10:53:00
595,0.1,2015-03-23 10:57:00
596,1.8,2015-03-28 08:50:00
597,2.4,2015-03-30 07:30:00
598,0.3,2015-03-30 08:10:00
599,1.7,2015-03-30 10:03:00
600,0.1,2015-03-30 10:45:00
601,0.1,2015-03-30 10:49:00
602,3.0,2015-04-05 08:00:00
603,0.8,2015-04-06 08:07:00
604,0.1,2015-04-06 10:50:00
605,0.1,2015-04-06 10:53:00
606,2.0,2015-04-09 09:45:00
607,4.2,2015-04-12 08:05:00
608,1.0,2015-04-13 08:22:00
609,0.3,2015-04-13 10:41:00
610,0.2,2015-04-13 10:45:00
611,2.3,2015-04-16 11:35:00
612,3.0,2015-04-20 07:23:00
613,0.7,2015-04-20 08:07:00
614,0.1,2015-04-20 10:56:00
615,0.1,2015-04-20 11:03:00
616,2.3,2015-04-20 12:53:00
617,2.9,2015-04-26 11:20:00
618,1.0,2015-04-27 08:15:00
619,0.3,2015-04-27 10:47:00
620,0.2,2015-04-27 10:50:00
621,1.6,2015-04-28 09:45:00
622,1.1,2015-05-04 07:56:00
623,0.3,2015-05-04 08:33:00
624,0.1,2015-05-04 10:57:00
625,0.1,2015-05-04 11:02:00
626,0.4,2015-05-05 09:30:00
627,0.8,2015-05-11 07:40:00
628,0.2,2015-05-11 08:08:00
629,0.1,2015-05-11 10:44:00
630,0.1,2015-05-11 10:50:00
631,0.6,2015-05-12 10:42:00
632,1.0,2015-05-18 08:00:00
