Subembayment,Facility,Year,Quart,Date,Flow  (MGD),Peak Flow (MGD),TN (mg/L),TDN (mg/L),TKN (mg/L),SKN (mg/L),NO3 (mg/L),NO2 (mg/L),Total NH3 (mg/L),Urea* (mg/L),TP (mg/L),TDP (mg/L),DRP** (mg/L),TSS (mg/L),TRP (mg/L)
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q1 2013,3/6/2013,85.4,184,28.98,29.03,27.08,27.13,1.75,0.15,24.02,0.43,0.38,0.1,0.51,22,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q1 2013,3/18/2013,54,76,35.036,35.986,33.94,34.89,0.999,0.097,32.93,0.49,0.78,0.61,1.27,23,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,4/2/2013,61.7,107,22.14,21.13,19.46,18.45,2.1,0.58,18.06,0.7,0.1,0.1,0.43,34,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,4/22/2013,54.3,69,41.53,41.67,38.84,38.98,2.24,0.45,37.74,0.45,1.26,0.69,1.44,20,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,4/29/2013,51.6,68,41.1,39.62,37.91,36.43,2.74,0.45,36.01,0.6,0.1,0.1,0.59,17,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,5/7/2013,53.4,68,43.92,43.55,40.49,40.12,3.32,0.11,39.82,0.33,0.1,0.1,0.79,16,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,5/20/2013,51.2,67,45.34,39.54,40.52,34.72,3.81,1.01,35.95,0.4,0.1,0.1,2.01,36,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,6/3/2013,53.2,69,42.69,40.23,38.16,35.7,4.19,0.34,36.43,0.31,0.1,0.1,0.79,18,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 1,Q2 2013,6/17/2013,51.9,68,41.001,39.071,40.04,38.11,0.88,0.081,39.76,0.32,0.1,0.1,0.87,19,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q3 2013,7/8/2013,54.6,84,30.88,30.6,28.17,27.89,2.24,0.47,38.53,0.41,0.1,0.1,3.31,23.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q3 2013,7/22/2013,54,78,40.1,38.19,38.42,36.51,1.53,0.15,44.58,,0.29,0.1,1.1,34,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q3 2013,8/5/2013,53.9,68,43.5,42.24,40.85,39.59,2.28,0.37,39.87,,0.1,0.1,1.4,18.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q3 2013,8/19/2013,54.1,67,47.39,45.41,40.68,38.7,5.76,0.95,43.68,,0.1,0.1,0.85,17.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q3 2013,9/9/2013,53.7,85,45.149,43.129,40.04,38.02,4.56,0.549,41.61,,0.1,0.1,1.03,19,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q3 2013,9/23/2013,53,63,38.643,36.033,34.64,32.03,3.72,0.283,32.2,,0.1,0.1,0.29,13.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q4 2013,10/7/2013,58.5,52.6,43.99,43.54,39.4,38.95,4.31,0.28,44.8,,0.26,0.1,0.43,26,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q4 2013,10/21/2013,58.3,52,45.3,42.06,44.46,41.22,0.7,0.14,49.73,,0.51,0.1,0.9,25,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q4 2013,11/4/2013,57.8,50.1,50.394,44.014,49.5,43.12,0.81,0.084,40.32,,0.19,0.1,0.46,29,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q4 2013,11/18/2013,60.4,54.3,46.3175,47.5475,45.47,46.7,0.78,0.0675,49.95,,0.1,0.1,0.86,19,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q4 2013,12/2/2013,57.5,50.3,42,37.86,40.99,36.85,0.95,0.06,42.22,,0.1,0.1,0.77,14,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q4 2013,12/16/2013,56.6,51.2,48.49,45.91,42,39.42,6.24,0.25,49.98,,0.47,0.1,0.76,14,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,1/6/2014,51.7,61,47.531,48.991,44.35,45.81,2.961,0.22,51.97,,0.135,0.564,0.62,20,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,1/20/2014,57.3,65,53.062,51.052,48.83,46.82,3.81,0.422,43.46,,2.39,1.79,2.34,24.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,2/2/2014,78,130,42.578,42.918,39.2,39.54,3.248,0.13,38.08,,1.94,1.67,2.09,25,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,2/9/2014,141,152,8.46,12.49,6.27,10.3,2.135,0.055,14.9,,0.49,0.1,0.32,34,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,2/17/2014,57.6,69,40.86,40.94,38.14,38.22,2.62,0.1,37.77,,0.809,0.433,1.1,15.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,2/24/2014,56.2,70,46.5,46.33,42.62,42.45,3.67,0.21,41.33,,0.691,0.363,1.08,16,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,3/10/2014,55.5,72,43.565,42.615,40.12,39.17,3.23,0.215,40.6,,0.607,0.274,0.879,13.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q1 2014,3/17/2014,57.3,69,45.474,46.034,42.11,42.67,3.15,0.214,40.99,,0.512,0.248,0.833,13,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q2 2014,4/7/2014,54.3,73,47.72,44.92,37.6,34.8,9.92,0.2,41,,1.09,0.916,0.873,11,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q2 2014,4/22/2014,62,69,56.642,55.642,51.4,50.4,4.68,0.562,42,,0.688,0.331,1.43,17.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q2 2014,5/5/2014,55.6,65,51.46,41.06,47,36.6,4.01,0.45,45.2,,0.638,0.377,1.03,23.5,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q2 2014,5/19/2014,59.7,75,56.47,53.77,52,49.3,3.87,0.6,47,,1.24,0.82,1.57,16.6,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q2 2014,6/3/2014,57.6,75,59.56,56.06,57.7,54.2,1.63,0.23,51.3,,1.55,1.2,2.29,21,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 2,Q2 2014,6/16/2014,56.2,75,49.649,46.949,47.3,44.6,2.23,0.119,42.2,,0.991,0.285,1.08,24,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q3 2014,7/1/2014,54.7,,49.2,,45.8,,3.36,,48.9,,1.47,,1.84,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q3 2014,7/21/2014,52.9,,53.2,,51.2,,2,,46.8,,1.1,,0.959,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q3 2014,8/4/2014,52.8,,49.6,,42.8,,6.83,,40.2,,0.68,,0.8,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q3 2014,8/18/2014,55.5,,47.5,,42.6,,4.94,,36.4,,0.36,,0.74,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q3 2014,9/2/2014,55.9,,47.3,,46.3,,1.01,,46.5,,0,,0.54,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q3 2014,9/15/2014,54.5,,51.6,,50.4,,1.21,,47.5,,0.65,,0.9,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q4 2014,10/6/2014,52.5,,49.5,,46.6,,2.88,,37,,0.32,,0.778,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q4 2014,10/21/2014,56.9,,55.1,,53.1,,1.99,,47,,0.33,,0.69,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q4 2014,11/4/2014,53.8,,60.5,,56.8,,3.71,,53,,1.8,,1.51,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q4 2014,11/17/2014,56.6,,55.7,,46.7,,9.02,,44,,0.15,,0.44,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q4 2014,12/8/2014,57.6,,42.2,,41,,1.24,,31.5,,0.12,,0.59,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q4 2014,12/22/2014,73.3,,23,,19.8,,3.24,,21,,0.32,,0.39,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q1 2015,1/6/2015,57.4,,46.9,,46.1,,0.84,,39,,1,,1.35,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q1 2015,1/26/2015,55.2,,56.2,,55.4,,0.766,,45,,2,,0.77,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q1 2015,2/10/2015,58.8,,47.9,,43.2,,4.74,,34,,0.14,,0.5,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q1 2015,2/23/2015,54.3,,47.3,,42.6,,4.71,,37,,0,,1.44,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q1 2015,3/3/2015,60,,53.8,,49.2,,4.6,,42,,0.47,,0.69,,
South Bay,Southeast Water Pollution Control Plant CCSF,Y 3,Q1 2015,3/17/2015,54,,44,,37.2,,6.76,,34,,0.86,,1.25,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q3 2012,7/10/2012,8.6,12.8,34.29,33.29,33,32,0.42,0.87,32,,4.5,4.7,3.8,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q3 2012,7/26/2012,8.89,13.6,27.5641,27.5641,27,27,0.56,0.0041,26,,5.2,4.9,3.5,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q3 2012,8/16/2012,8.6,13.1,39.74,39.74,38,38,0.54,1.2,36,,4.9,4.7,3.6,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q3 2012,8/28/2012,8.54,14,34.11,33.11,31,30,0.91,2.2,27,,4.4,4.9,2.7,4,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q3 2012,9/12/2012,9.13,14.8,34.2,34.2,30,30,2,2.2,27,,4.7,4.5,5,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q3 2012,9/25/2012,8.46,20.5,33.2,33.2,28,28,0.8,4.4,31,,4.9,4.8,3.2,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q4 2012,10/3/2012,8.44,14,37.8,35.8,34,32,1.5,2.3,26,,4,3.3,3.2,9,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q4 2012,10/23/2012,9.31,14,41.9,40.9,36,35,2.6,3.3,34,,4,3.4,2.4,5,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q4 2012,11/7/2012,8.7,14,29.99,28.99,28,27,1.8,0.19,23,,4.1,3.7,3.8,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q4 2012,11/27/2012,7.89,20,43.9,43.9,36,36,5.9,2,33,,3.6,3.8,1.6,9,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q4 2012,12/5/2012,14.02,43.6,25.981,24.981,25,24,0.95,0.031,22,,0.85,1.3,0.7,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q4 2012,12/18/2012,9.9,14.9,44.6,43.6,38,37,4.9,1.7,22,,4.2,3.8,2.5,12,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,1/9/2013,9.62,14.5,25.3,24.3,20,19,1.9,3.4,15,,2.4,2.3,2.2,9,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,1/22/2013,8.86,15.5,45.2,41.2,34,30,8,3.2,23,,4.2,3.6,1.5,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,2/6/2013,8.45,14.9,31.3,31.3,22,22,2.9,6.4,19,,4.6,4.4,3.9,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,2/8/2013,8.87,18.9,29.6,26.6,26,23,1.1,2.5,19,,3.8,3.4,3,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,2/20/2013,10.83,26.5,26,28,20,22,1.6,4.4,15,,3.8,3.8,2.9,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,2/27/2013,8.69,14.9,33.2,34.2,25,26,6.5,1.7,21,,4.5,4.2,1.7,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,3/6/2013,9.46,15.2,34.7,34.7,27,27,6.6,1.1,26,,5.3,5.3,3.8,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q1 2013,3/27/2013,8.69,14,46.7,45.7,23,22,19,4.7,20,,3.2,2.4,2.8,14,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q2 2013,4/3/2013,9.79,14.5,27.9,26.9,22,21,1.9,4,13.7,,12,4.2,4.1,5,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q2 2013,4/17/2013,8.29,13.5,29.3,28.3,14,13,13,2.3,8.9,,5.5,4.5,5.2,9,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q2 2013,5/8/2013,8.33,19,27.5,27.5,23,23,1.5,3,22,,4,4,3.3,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q2 2013,5/22/2013,8.22,13.9,36.4,33.4,32,29,2.3,2.1,27,,6.4,5.9,6.8,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q2 2013,6/5/2013,8.42,13.2,32.253,31.253,32,31,0.093,0.16,25,,4,4.2,3.9,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 1,Q2 2013,6/19/2013,8.44,15,39.5,37.5,32,30,6.3,1.2,25,,5.1,3.9,3.2,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q3 2013,7/10/2013,8.51,13.2,31.7,30.7,30,29,0.2,1.5,20,,4.6,4,2.9,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q3 2013,7/25/2013,8.5,23,47.5,39.5,43,35,1.3,3.2,31,,5.8,5.5,2.8,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q3 2013,8/7/2013,8.41,14.1,29.6,28.6,23,22,5.1,1.5,18,,4.2,4.2,3.7,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q3 2013,8/21/2013,8.75,13.2,40,40,31,31,7,2,27,,4.7,4.4,2.6,4,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q3 2013,9/11/2013,8.35,22,35.17,35.17,34,34,0.67,0.5,25,,2.8,2.5,1.5,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q3 2013,9/18/2013,8.35,15.5,34.625,34.625,32,32,2.6,0.025,25,,3.8,3.6,3,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,10/9/2013,8.1,14,32.316,32.316,29,29,3.3,0.016,26,,4.3,3.8,4.4,9,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,10/23/2013,8.12,12.8,38.939,33.939,34,29,4.9,0.039,22,,3.4,3.3,3.3,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,11/6/2013,8.23,13.7,37.9,34.9,32,29,3.5,2.4,26,,4.6,4.2,3.8,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,11/19/2013,9.23,13.5,30.988,31.988,25,26,5.9,0.088,19,,4.4,4.3,3.9,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,11/20/2013,10.42,23.2,35.73,26.73,31,22,4.6,0.13,22,,3.8,3.7,4.2,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,12/5/2013,7.25,20,29.91,21.91,24,16,5,0.91,16,,4.6,4.3,3,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q4 2013,12/18/2013,8.04,13.95,32.244,29.244,25,22,7.2,0.044,20,,4.4,4,3.7,8,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,1/8/2014,8.3,13.2,29.403,29.403,23,23,6.4,0.003,18,,5,5,5.1,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,1/22/2014,8.29,13.9,25.127,24.127,24,23,1.1,0.027,19,,4.4,3.7,3.9,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,1/30/2014,8.05,13.2,38.17,36.17,34,32,3.2,0.97,29,,5.1,4.8,4.4,9,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,2/5/2014,10.78,21.2,30.19,29.19,29,28,0.38,0.81,24,,3.7,4,3.2,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,2/8/2014,14.95,27.5,8.47,11.77,7.9,11.2,0.06,0.51,32,,4.5,3.5,2.6,19,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,2/19/2014,8.23,14.3,43.52,37.52,42,36,0.83,0.69,27,,6.8,5.1,5.4,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,3/5/2014,10.52,25.9,29.41,29.41,27,27,0.61,1.8,23,,3.9,3.9,3.4,6,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q1 2014,3/19/2014,8.09,15,33.7,33.7,27,27,1.9,4.8,24,,5.2,4.7,3.1,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q2 2014,4/9/2014,8.82,14.2,41.67,42.67,41,42,0.33,0.34,35,,4.8,4.4,2.1,5,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q2 2014,4/23/2014,8.3,13.7,45.16,41.16,44,40,0.16,1,30,,5.1,4.9,2.9,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q2 2014,5/7/2014,8.51,20.35,35.3,32.3,31,28,1.3,3,23,,5.9,5.7,3.8,4,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q2 2014,5/21/2014,8.55,19.5,35.91,26.91,34,25,0.81,1.1,25,,5.3,4.9,3.5,7,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q2 2014,6/18/2014,8.49,21.25,42.71,37.71,41,36,0.41,1.3,28,,6.5,5.8,5.1,10,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 2,Q2 2014,6/25/2014,8.61,13.1,35.07,35.07,32,32,0.97,2.1,27,,5.5,5.2,4,11,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q3 2014,7/9/2014,8.66,,37.59,,36,,1.59,,24.83333333,,5.2,,3.5,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q3 2014,7/23/2014,8.2,,39.12,,36,,3.12,,27.45,,6,,4.9,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q3 2014,8/6/2014,8.57,,39.5,,36,,3.5,,29.15,,4.3,,2.3,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q3 2014,8/20/2014,8.23,,33.2,,29,,4.2,,22.05,,5.2,,3.9,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q3 2014,9/10/2014,8.28,,20,,19,,0.83,,14.85,,4.1,,4,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q3 2014,9/19/2014,8.55,,38,,37,,0.61,,33.7,,5.1,,3.1,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q4 2014,10/8/2014,8.35,,40.5,,39,,1.5,,29.45,,6.6,,3.9,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q4 2014,10/22/2014,8.3,,37,,36,,0.99,,32.65,,5.9,,3.1,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q4 2014,11/5/2014,8.14,,27,,25,,2,,20.6,,5,,5,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q4 2014,11/19/2014,9.01,,42.7,,41,,1.7,,27.2,,6.7,,4.5,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q4 2014,12/3/2014,18.84,,14.3,,13,,1.3,,6.75,,1.1,,1.6,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q4 2014,12/17/2014,16.86,,27.3,,26,,1.3,,22.75,,2.5,,0.12,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q1 2015,1/7/2015,8.55,,34.87,,34,,0.87,,30.55,,4.4,,2.8,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q1 2015,1/21/2015,9.04,,40.55,,40,,0.55,,38,,12,,3.1,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q1 2015,2/4/2015,8.36,,44.1,,43,,1.1,,36.45,,5.1,,3.7,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q1 2015,2/18/2015,8.58,,37.2,,36,,1.2,,27.25,,5,,3.4,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q1 2015,3/4/2015,8.33,,37.86,,37,,0.86,,28.6,,3.5,,1.7,,
South Bay,South San Francisco-San Bruno Water Quality Control Plant,Y 3,Q1 2015,3/18/2015,8.38,,29.7,,25,,4.7,,18.1,,5.6,,4.6,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 1,Q3 2012,7/10/2012,3.2,4.4,24.886,24.666,0.88,0.66,24,0.006,0.25,,3.7,3.3,3.8,1.7,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 1,Q4 2012,12/6/2012,7.8,11.8,3.6616,3.5216,0.66,0.52,3,0.0016,0.21,,1.3,1.5,1.4,1.4,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 1,Q1 2013,1/24/2013,3,3.9,11.7718,11.7018,0.77,0.7,11,0.0018,0.32,,3.3,3.5,3.4,1.3,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 1,Q1 2013,2/20/2013,2.88,3.41,1.4374,1.2174,1.1,0.88,0.33,0.0074,0.39,,3.8,4,3.6,1.5,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 1,Q1 2013,3/26/2013,2.32,3.15,0.9167,0.8067,0.74,0.63,0.17,0.0067,0.21,,4,3.6,3.7,1.2,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 1,Q2 2013,4/5/2013,3.09,6.03,12.5039,11.4039,2.5,1.4,10,0.0039,0.21,,3.9,4.6,3.4,1.8,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q3 2013,8/6/2013,2.26,3.77,5.203,5.003,2,1.8,3.2,0.003,0.18,,3.4,3.3,3.5,0.3,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q4 2013,12/30/2013,2.85,4.54,14.703,14.633,0.7,0.63,14,0.003,0.085,,2.9,3.1,3,0.9,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q1 2014,1/14/2014,1.68,2.69,2.7839,2.5439,0.98,0.74,1.8,0.0039,0.18,,4.3,3.2,3,0.9,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q1 2014,2/12/2014,11.1,11.7,1.783,1.783,1.5,1.5,0.28,0.003,0.63,,1.4,1.5,1.5,1.1,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q1 2014,3/25/2014,2.68,3.91,6.543,6.403,0.84,0.7,5.7,0.003,0.18,,3.9,3.8,3.7,0.4,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q2 2014,4/22/2014,3.44,4.24,8.6433,8.6033,0.74,0.7,7.9,0.0033,0.18,,4,4.1,4,0.7,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q2 2014,5/28/2014,2.76,3.49,2.743,2.743,0.74,0.74,2,0.003,1.1,,4.5,4.3,4.1,0.8,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 2,Q2 2014,6/10/2014,2.33,3.43,3.9644,3.8844,0.96,0.88,3,0.0044,0.14,,9.8,4.8,4.4,0.8,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q3 2014,7/8/2014,1.91,,13,,1.2,,12,,0,,5.7,,5.2,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q3 2014,8/5/2014,1.52,,5.9,,0.81,,5.1,,0,,5,,4.5,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q3 2014,9/2/2014,2.28,,3.6,,1.2,,2.4,,0,,4.7,,4.2,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q4 2014,10/7/2014,2.48,,3.6,,1.2,,2.5,,0,,1.8,,1.4,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q4 2014,11/4/2014,1.82,,5,,0.91,,4.1,,0,,4.2,,4.1,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q4 2014,12/9/2014,5.64,,14,,0.73,,13,,0,,1.6,,1.7,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q1 2015,1/6/2015,3,,2.8,,0.7,,2.1,,0,,1.2,,1.2,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q1 2015,2/3/2015,2.36,,6.3,,0.72,,5.5,,0.7,,3.6,,3.7,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q1 2015,3/3/2015,3.15,,5,,0.95,,4.1,,0,,1.9,,,,
San Pablo Bay,Sonoma Valley County Sanitation District,Y 3,Q1 2015,3/24/2015,1.58,,29,,0.9,,28,,0,,5.8,,4.3,,
South Bay,Silicon Valley Clean Water,Y 1,Q3 2012,7/13/2012,12.85,17.7,41.55,40.55,41,40,0.4,0.15,,,3.1,3.3,2.8,5.3,
South Bay,Silicon Valley Clean Water,Y 1,Q3 2012,7/27/2012,15.22,21,39.96,38.96,39,38,0.33,0.63,,,3.5,3.4,3.5,6,
South Bay,Silicon Valley Clean Water,Y 1,Q3 2012,8/14/2012,9.53,20.6,39.69,37.69,39,37,0.44,0.25,28,,3.8,3.5,3.8,7.6,
South Bay,Silicon Valley Clean Water,Y 1,Q3 2012,8/22/2012,14.32,23.8,42.99,40.99,42,40,0.25,0.74,38,,3.6,3.4,3.5,3.5,
South Bay,Silicon Valley Clean Water,Y 1,Q3 2012,9/13/2012,12.15,21.4,43.71,41.71,43,41,0.42,0.29,44,,3.9,3.3,4.4,4.8,
South Bay,Silicon Valley Clean Water,Y 1,Q3 2012,9/20/2012,13.01,20.4,43.6,43.6,43,43,0.24,0.36,43,,3.4,3.1,10,4.2,
South Bay,Silicon Valley Clean Water,Y 1,Q4 2012,10/3/2012,13.1,17.8,39.65,41.65,39,41,0.35,0.3,37,,3.8,3.1,3.3,3,
South Bay,Silicon Valley Clean Water,Y 1,Q4 2012,10/9/2012,13.05,17.7,44.57,38.57,44,38,0.41,0.16,41,,3.1,2.6,5.3,2.4,
